FullPath;Package;Element;Property;DependentPackage;DependendElement;GUID
ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.AbstractTestSuite;CoverageCore;AllRequirements;Dependency;ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.RequirementsSuite.CoverageCore;Envelope-domainset;{F189E435-43CA-4af8-BD62-193B16766793}
ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.AbstractTestSuite;CoverageCore;AllRequirements;Dependency;ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.RequirementsSuite.CoverageCore;Temporal;{D32AF46C-16E8-47da-922E-06AB8DC77FB2}
ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.AbstractTestSuite;CoverageCore;AllRequirements;Dependency;ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.RequirementsSuite.CoverageCore;Sub-coverages;{6F53F835-6911-429b-93A4-A60D377062B1}
ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.AbstractTestSuite;CoverageCore;AllRequirements;Dependency;ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.RequirementsSuite.CoverageCore;Envelope-axes;{78352FFC-593B-4f85-B0DA-6442EEC34673}
ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.AbstractTestSuite;CoverageCore;AllRequirements;Dependency;ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.RequirementsSuite.CoverageCore;Record;{922DFD67-CC1A-404c-BD97-0031D451C8B9}
ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.AbstractTestSuite;CoverageCore;AllRequirements;Dependency;ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.RequirementsSuite.CoverageCore;MinInfo;{B7BAB674-6332-463f-A8FD-6AE8DB1709DD}
ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.AbstractTestSuite;CoverageCore;AllRequirements;Dependency;ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.RequirementsSuite.CoverageCore;RsId;{9AA6BDCE-AF6A-41d1-91CA-3C065421FFCB}
ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.AbstractTestSuite;CoverageCore;AllRequirements;Dependency;ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.RequirementsSuite.CoverageCore;Coordinates;{A79436B4-06F6-4472-A61A-5B3292BE170A}
ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.AbstractTestSuite;CoverageCore;AllRequirements;Dependency;ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.RequirementsSuite.CoverageCore;Cyclefree-hierarchies;{08840E95-3610-465b-881D-CAEB1C28B4D0}
ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.AbstractTestSuite;CoverageCore;AllRequirements;Dependency;ISO TC211.ISO 19123 Schema for coverage geometry and functions.ISO/WD 19123-1 Edition 1.ModularSpecification.RequirementsSuite.CoverageCore;CRS;{41EA7C6D-6B24-4efc-A870-3BCFD260BEF1}
